sets,hand_size,deals,hand_type,count
3,15,5,ascending,25258402876
13,18,21,ascending,15309
0,15,18,descending,69761800
5,18,16,ascending,270788371
13,12,21,ascending,88184
12,18,11,ascending,156596
7,15,9,ascending,1435291675
6,15,16,descending,5435640
2,12,3,descending,18942488018
11,21,6,ascending,1297
3,18,11,descending,10774
10,15,8,ascending,2118747
12,15,21,ascending,35
13,21,17,ascending,129
2,15,12,descending,352454415
1,15,9,ascending,7452770869
6,21,3,ascending,2562
0,15,21,descending,70268799
14,21,23,ascending,74
11,21,13,ascending,1458
11,15,21,ascending,81405
11,12,22,ascending,779200
2,12,2,descending,15964579568
1,12,4,descending,36658380615
9,12,5,ascending,60703874
14,18,11,ascending,1025
3,18,5,descending,9081
12,15,18,ascending,33
5,21,17,ascending,1443
1,18,7,descending,1155
9,21,16,ascending,7983
0,15,9,descending,64589481
15,21,13,ascending,9
2,18,12,ascending,28904576
1,15,22,ascending,7819445620
8,21,3,ascending,5294
6,18,16,ascending,239685863
1,12,13,ascending,254142170008
14,18,17,ascending,1005
1,12,8,descending,37973685855
5,21,15,ascending,1420
11,18,17,ascending,1179716
2,18,4,ascending,24610693
5,12,6,descending,110396063
14,21,14,ascending,32
2,15,22,ascending,19541861409
3,15,18,descending,264302956
9,18,12,ascending,24062463
9,18,17,descending,24
4,12,8,descending,1162556288
9,21,4,ascending,5761
6,12,1,ascending,22536311460
2,18,5,ascending,25778052
5,18,3,ascending,199334892
0,18,22,ascending,45769
6,18,9,descending,2484
0,15,10,ascending,1017716114
2,15,21,descending,366163040
1,12,19,descending,39205393688
0,12,18,descending,29523647952
9,15,15,descending,1088
3,15,17,descending,263610507
3,21,8,ascending,29
0,15,16,descending,69183920
5,18,4,descending,5721
4,21,22,ascending,144
5,15,6,ascending,12991224619
5,15,4,ascending,12646837446
12,18,2,ascending,73133
2,18,22,descending,6287
9,18,20,descending,19
6,21,13,ascending,5667
4,18,6,descending,11131
8,15,20,ascending,262699527
2,12,18,ascending,379339159906
10,15,11,ascending,2079692
2,15,7,ascending,18537780873
8,21,20,ascending,11481
3,18,22,ascending,110129573
4,18,2,ascending,97189624
2,15,8,ascending,18657204809
9,15,7,ascending,32185988
8,15,22,ascending,262738071
7,18,21,descending,679
10,15,12,ascending,2069011
2,18,7,ascending,26717724
4,12,18,ascending,181740397917
1,15,9,descending,256860976
10,12,7,ascending,13174372
7,12,14,ascending,2892627802
5,21,22,ascending,1523
0,18,13,descending,127
6,12,9,descending,4725948
1,12,13,descending,38779999887
4,12,1,ascending,210637940022
3,18,15,descending,11515
14,12,2,ascending,16373
8,18,8,ascending,68398689
7,18,17,descending,662
7,15,22,descending,572212
10,15,13,ascending,2065654
7,18,14,ascending,151342315
1,15,20,ascending,7805161527
1,15,3,descending,200597828
3,12,21,ascending,329233181639
1,15,17,ascending,7769119036
10,18,15,ascending,6190489
6,12,14,descending,4682011
4,12,17,ascending,181843622484
4,12,4,ascending,187087216874
10,12,5,ascending,13486537
9,21,11,ascending,7458
13,18,13,ascending,15109
15,21,10,ascending,7
10,18,19,ascending,6222699
0,12,10,ascending,67539570646
7,12,21,descending,54643
5,21,20,ascending,1496
3,12,18,descending,6650401907
6,12,18,ascending,16714371773
8,12,9,ascending,382030058
3,15,1,ascending,12300738207
11,18,19,ascending,1182603
9,15,8,descending,1180
7,21,6,ascending,8805
1,15,18,ascending,7783804038
2,15,4,ascending,17948150668
4,18,15,descending,13088
9,15,4,descending,1092
0,18,8,descending,104
3,15,10,descending,252532729
2,18,21,ascending,30530504
13,15,8,ascending,162
0,18,10,ascending,40904
13,18,10,ascending,15130
9,21,19,ascending,8175
0,15,5,ascending,970033251
13,18,17,ascending,15192
4,18,15,ascending,212868249
11,15,22,ascending,81288
2,12,6,ascending,378210260362
11,15,19,ascending,82040
10,21,17,ascending,3901
0,12,9,descending,28525108338
3,12,10,descending,6581644420
12,15,1,ascending,16
7,21,8,ascending,9298
14,18,7,ascending,1061
12,21,17,ascending,433
7,12,19,descending,54861
7,12,12,ascending,2918101120
12,12,20,ascending,397469
0,18,8,ascending,38925
7,15,18,descending,571093
2,18,17,ascending,30145654
11,15,14,ascending,81930
4,15,6,ascending,22119404786
15,21,3,ascending,2
9,15,4,ascending,31416679
9,18,19,ascending,24495772
3,15,18,ascending,26559767992
6,15,10,ascending,5232800383
1,12,18,ascending,254929806127
3,18,23,ascending,109066437
3,15,23,ascending,27028045486
7,12,20,ascending,2860022674
10,18,14,ascending,6171588
5,15,13,ascending,13151393908
7,12,5,ascending,3066383791
12,12,2,ascending,560248
1,15,5,ascending,7211689470
13,21,21,ascending,145
4,12,20,ascending,181592647945
2,15,5,descending,325711392
2,12,21,ascending,379366870597
6,18,18,descending,2835
7,12,7,ascending,3023843148
5,21,21,ascending,1558
6,12,1,descending,2066576
14,18,3,ascending,823
15,21,4,ascending,2
6,12,12,descending,4686714
11,12,13,ascending,818393
5,15,7,ascending,13014128176
14,18,19,ascending,1065
2,15,19,ascending,19493514605
13,21,12,ascending,149
7,15,19,descending,570892
8,12,21,ascending,363213308
3,12,4,descending,6364188247
8,18,11,descending,119
8,12,18,ascending,364554920
2,18,17,descending,6123
0,15,3,descending,50547241
9,15,20,ascending,31260858
7,12,19,ascending,2862536831
11,12,6,ascending,895607
2,12,1,ascending,379890953520
5,18,15,ascending,269509404
4,18,12,ascending,207853154
7,21,9,ascending,9608
5,12,16,descending,109483710
8,18,14,descending,107
10,12,17,ascending,12110831
1,15,10,ascending,7513907264
3,12,16,descending,6640206483
9,18,2,ascending,11255655
12,12,7,ascending,443181
0,12,19,ascending,68507011087
5,18,14,descending,7802
2,12,3,ascending,378908646210
0,15,20,ascending,1064565175
11,12,19,ascending,791878
6,15,18,descending,5460173
5,15,22,ascending,13250029759
3,18,22,descending,12160
6,15,2,descending,2492879
11,12,15,ascending,805692
4,18,11,descending,12336
10,12,13,ascending,12347927
9,21,13,ascending,7808
15,18,7,ascending,141
3,21,14,ascending,28
5,12,10,ascending,68904689321
12,18,10,ascending,157234
4,18,3,descending,5973
9,18,9,descending,12
7,12,14,descending,54606
7,18,12,ascending,149652402
5,12,20,descending,109553670
10,12,23,ascending,26558311
15,18,22,ascending,126
7,12,1,descending,24142
6,15,14,ascending,5250722646
7,15,14,ascending,1432071167
15,18,13,ascending,150
9,15,1,ascending,13954980
9,21,18,ascending,8164
2,15,6,ascending,18423791694
3,18,4,ascending,90044892
8,15,12,descending,34737
13,21,11,ascending,144
0,15,19,ascending,1063003582
9,15,23,ascending,35157415
4,21,5,ascending,86
3,12,17,descending,6646034843
1,15,12,ascending,7620648466
8,12,6,ascending,392527985
0,12,17,ascending,68421941939
5,12,14,descending,109458490
1,12,3,ascending,249788260445
9,15,18,ascending,31267908
13,18,11,ascending,15238
13,18,16,ascending,15473
11,15,1,ascending,35945
4,15,14,descending,114872075
2,12,14,ascending,379228726293
8,18,4,descending,92
9,18,16,descending,15
12,18,21,ascending,157920
12,15,11,ascending,28
3,21,17,ascending,25
5,12,4,ascending,70836984701
4,12,7,descending,1163382196
9,15,16,ascending,31294807
5,15,21,ascending,13246647983
7,21,17,ascending,10759
5,15,3,ascending,11882923037
3,15,22,ascending,26639880139
2,15,21,ascending,19528948583
12,18,22,ascending,158310
1,15,21,descending,277386643
15,18,19,ascending,159
9,21,17,ascending,8003
3,21,4,ascending,14
3,18,13,ascending,105804423
6,15,19,descending,5465693
5,12,8,ascending,69522325391
7,15,5,ascending,1436765875
6,12,17,descending,4679948
0,12,20,descending,29589733651
3,12,8,descending,6563717776
12,18,7,ascending,158201
2,18,7,descending,5086
9,15,3,descending,857
5,18,13,descending,7644
13,21,10,ascending,150
2,15,20,ascending,19512843402
9,12,18,ascending,55176503
8,18,5,ascending,66665606
1,12,12,descending,38645621412
10,21,18,ascending,4148
7,12,22,descending,54539
5,18,17,ascending,271797538
6,15,10,descending,5322654
0,12,8,descending,28348799583
0,12,11,descending,28870453483
4,12,20,descending,1168209229
4,18,22,ascending,217453543
6,18,10,ascending,230377582
4,15,5,ascending,21970710392
10,15,3,ascending,1932490
9,18,19,descending,18
6,12,7,descending,4759771
6,15,11,descending,5340824
9,21,8,ascending,7009
9,15,2,descending,480
14,12,7,ascending,12508
12,21,9,ascending,463
6,18,20,descending,2811
15,18,11,ascending,128
5,15,10,ascending,13072868920
7,18,13,descending,624
4,15,4,descending,101518973
9,15,9,ascending,31799028
4,18,20,descending,13521
13,21,23,ascending,109
10,21,3,ascending,1824
5,21,10,ascending,1260
2,12,10,descending,20935852301
4,18,13,ascending,209827771
9,15,16,descending,1142
8,15,6,ascending,267973348
13,18,8,ascending,15526
10,21,16,ascending,4054
6,18,19,descending,2861
1,12,6,descending,37654546691
15,18,10,ascending,144
9,15,22,descending,1182
7,15,3,descending,437512
3,21,7,ascending,24
1,15,13,descending,268310779
5,12,17,ascending,67770378417
8,18,12,descending,98
5,15,13,descending,31525349
10,21,12,ascending,3739
9,21,7,ascending,6949
9,15,15,ascending,31304380
0,15,20,descending,70131679
6,18,16,descending,2791
12,21,12,ascending,465
7,21,10,ascending,9514
6,15,12,ascending,5240998181
0,18,21,ascending,45261
3,18,20,descending,12021
4,18,4,ascending,180632510
0,12,15,ascending,68286294703
8,12,7,ascending,389148328
11,21,8,ascending,1398
12,21,8,ascending,474
3,18,21,ascending,109922309
0,15,2,ascending,796305745
6,12,16,ascending,16759866065
13,12,22,ascending,88430
7,15,12,descending,562962
1,18,17,descending,1408
9,18,21,ascending,24544688
7,15,14,descending,567015
0,12,14,ascending,68190697297
0,18,17,ascending,44300
5,12,18,ascending,67711361203
0,18,22,descending,124
7,15,11,descending,561965
0,18,16,ascending,43731
8,18,23,ascending,72204139
4,12,7,ascending,185359426284
5,15,20,ascending,13242347184
0,12,19,descending,29560497332
6,15,11,ascending,5236312964
14,12,1,ascending,24922
7,21,19,ascending,10806
7,18,11,descending,610
1,12,19,ascending,255002040568
6,15,3,descending,4143354
13,18,4,ascending,14427
7,18,2,ascending,69832469
10,15,15,ascending,2055509
0,15,15,ascending,1051949857
10,18,2,ascending,2875131
11,21,23,ascending,1756
6,18,23,ascending,244543856
14,12,20,ascending,10839
3,12,16,ascending,329602653005
8,18,12,ascending,69804614
15,21,23,ascending,3
5,15,16,descending,31888612
4,12,1,descending,521363077
3,18,9,ascending,100469608
11,18,19,descending,1
8,18,14,ascending,70445855
11,18,23,ascending,1054530
0,12,10,descending,28702526731
14,21,10,ascending,43
4,15,9,descending,111143446
2,18,14,ascending,29539721
11,12,14,ascending,813692
7,12,15,ascending,2883377446
7,15,5,descending,547072
5,18,11,ascending,261349747
3,21,13,ascending,23
14,21,13,ascending,30
5,15,21,descending,32162473
10,18,6,descending,2
3,15,3,ascending,23445552007
4,18,3,ascending,156064934
9,18,8,ascending,23738127
15,18,21,ascending,137
3,21,21,ascending,30
7,12,16,ascending,2876066590
10,18,3,ascending,4799344
15,18,18,ascending,159
2,18,19,ascending,30384219
3,12,19,descending,6653966763
10,18,6,ascending,6084171
7,18,14,descending,634
13,21,9,ascending,129
11,15,11,ascending,82717
1,15,2,ascending,5847663981
2,15,11,ascending,19025500183
2,12,7,descending,20761046948
6,12,16,descending,4676628
14,18,18,ascending,1055
9,15,22,ascending,31266465
4,15,14,ascending,22671327336
5,12,3,ascending,71956322445
14,21,3,ascending,19
3,12,5,descending,6504550623
4,15,13,descending,114269924
13,15,15,ascending,165
5,15,10,descending,31012897
4,18,6,ascending,193269905
12,15,20,ascending,49
8,18,5,descending,81
4,12,6,ascending,185843071917
4,18,10,descending,11897
9,12,21,ascending,54961138
5,15,20,descending,32118540
7,12,23,ascending,3257122165
5,18,3,descending,3746
1,15,5,descending,243709568
7,15,2,ascending,1089070243
14,18,10,ascending,1008
14,12,8,ascending,12151
11,18,4,ascending,1090794
2,18,3,descending,2787
2,15,3,ascending,17039922304
7,21,5,ascending,8346
0,15,19,descending,69964070
4,15,16,descending,115807176
1,18,4,descending,986
6,21,9,ascending,5206
7,18,5,descending,563
9,18,3,ascending,18686691
8,15,4,descending,32106
6,12,6,ascending,17532659430
9,18,16,ascending,24382633
9,18,22,ascending,24566668
7,21,21,ascending,11031
3,12,8,ascending,331842995890
11,15,2,ascending,62467
6,21,22,ascending,6189
15,21,20,ascending,9
8,18,9,descending,103
3,18,6,ascending,96308324
0,12,16,descending,29420053133
3,15,12,descending,256838569
4,12,3,descending,1056115085
11,18,9,ascending,1168826
3,15,14,descending,260291168
5,12,11,ascending,68638267373
7,15,8,ascending,1438330205
7,18,19,ascending,153678276
12,18,12,ascending,157362
0,12,13,descending,29150421028
5,12,19,descending,109542287
9,15,10,ascending,31651995
4,21,8,ascending,90
4,12,14,descending,1165023162
2,12,0,ascending,365568113533
12,15,19,ascending,34
5,15,17,ascending,13218564910
15,18,2,ascending,69
9,18,6,ascending,23604164
5,12,3,descending,99880497
2,15,9,descending,341939825
7,12,9,ascending,2976901512
6,15,13,ascending,5245925006
4,18,19,descending,13214
8,15,13,ascending,263036779
15,18,14,ascending,135
14,21,12,ascending,35
3,12,5,ascending,332993456866
5,12,15,ascending,67943729806
1,12,14,descending,38892459317
8,15,3,ascending,242676166
4,15,19,descending,116641459
10,15,9,ascending,2105183
2,12,11,descending,21000155006
7,21,7,ascending,8928
8,15,14,descending,34712
2,12,8,descending,20812960501
8,12,12,ascending,372879090
2,15,8,descending,338405832
4,18,9,ascending,200501964
8,18,18,ascending,71284810
11,18,14,ascending,1173237
2,12,19,descending,21289034658
2,15,1,ascending,9120351700
13,21,13,ascending,126
12,15,8,ascending,37
7,18,18,ascending,153398926
3,12,10,ascending,331051262402
6,12,13,descending,4684488
13,12,18,ascending,88718
2,18,13,descending,5903
11,18,15,ascending,1176827
5,12,14,ascending,68066725367
1,18,18,ascending,2611065
11,12,21,ascending,789375
6,12,21,ascending,16677398540
2,18,14,descending,5915
2,18,23,ascending,34429889
8,15,17,ascending,262750245
14,12,11,ascending,11742
10,21,19,ascending,4071
11,18,18,ascending,1182063
12,21,22,ascending,476
9,12,17,ascending,55283932
9,15,5,ascending,32197348
12,12,21,ascending,397302
5,12,9,ascending,69204780418
15,18,6,ascending,148
9,21,10,ascending,7359
7,15,4,ascending,1404820236
6,15,6,ascending,5235199423
14,18,14,ascending,1063
5,21,4,ascending,999
11,12,18,ascending,795973
13,18,18,ascending,15390
0,18,10,descending,129
15,21,21,ascending,5
0,12,7,descending,28184491684
13,12,20,ascending,88570
2,15,14,descending,357789276
7,15,23,ascending,1476367319
9,15,14,ascending,31345920
1,18,21,ascending,2634726
5,21,18,ascending,1428
9,21,23,ascending,8145
15,18,17,ascending,158
5,12,7,descending,110295129
6,18,18,ascending,241131913
12,21,21,ascending,514
5,18,21,descending,8005
12,21,10,ascending,442
12,21,7,ascending,401
9,15,13,ascending,31387763
13,21,19,ascending,161
7,12,5,descending,55863
14,21,9,ascending,31
2,18,15,descending,5915
5,12,13,ascending,68220230418
0,15,3,ascending,912645356
11,18,21,ascending,1182925
4,12,9,descending,1161937192
12,18,13,ascending,156415
4,12,21,descending,1168408491
14,21,7,ascending,37
5,18,5,ascending,243470271
4,12,15,descending,1165779273
12,12,23,ascending,1594578
3,18,9,descending,10231
6,21,5,ascending,4543
6,18,15,ascending,238721608
14,18,8,ascending,1022
6,21,8,ascending,5027
2,12,19,ascending,379351556629
6,12,23,ascending,15328782093
13,15,9,ascending,165
0,12,12,ascending,67925183453
4,12,9,ascending,184296814694
8,21,7,ascending,9693
2,15,15,descending,359915146
4,15,16,ascending,22752009816
0,12,6,ascending,66579984853
1,12,9,ascending,252547057030
13,18,14,ascending,15126
2,18,13,ascending,29249600
2,18,18,ascending,30287060
14,21,22,ascending,34
9,12,4,ascending,61603861
10,15,17,ascending,2053573
5,18,18,ascending,272647036
0,15,13,ascending,1041557994
4,18,14,ascending,211503274
3,18,8,ascending,99016185
4,15,6,descending,108875702
10,12,1,ascending,21367700
1,12,20,descending,39235535679
7,18,10,ascending,147582049
3,15,4,ascending,24783269892
6,12,12,ascending,16950660070
14,18,22,ascending,1037
4,12,11,ascending,183334596696
3,15,9,ascending,25815008648
2,12,12,descending,21060697684
5,15,17,descending,31969056
12,15,17,ascending,31
14,18,6,ascending,1065
2,12,16,descending,21228689922
5,18,6,ascending,247970217
7,18,4,descending,465
13,15,21,ascending,168
3,12,7,descending,6557539314
5,18,5,descending,6476
5,12,12,descending,109462361
4,18,23,ascending,214312853
6,12,11,descending,4699385
2,15,19,descending,364896360
13,21,20,ascending,133
10,12,3,ascending,14289189
7,15,19,ascending,1433676602
15,18,5,ascending,123
7,15,22,ascending,1434208379
1,12,6,ascending,250991330359
1,15,6,descending,248230352
1,18,21,descending,1425
8,18,4,ascending,63211545
11,21,7,ascending,1348
13,21,4,ascending,104
6,12,8,descending,4744245
5,15,3,descending,24071813
10,15,20,ascending,2050857
13,21,8,ascending,140
7,18,4,ascending,134116286
0,12,5,ascending,66403940131
9,12,13,ascending,56230511
8,15,9,ascending,265063717
6,12,18,descending,4679061
4,15,9,ascending,22327848361
5,15,7,descending,30553189
1,18,14,descending,1382
4,21,9,ascending,118
9,18,14,descending,10
4,18,16,descending,13234
6,15,21,ascending,5269083470
9,15,6,descending,1171
6,12,11,ascending,17027454536
7,15,10,ascending,1433238350
4,15,8,ascending,22255538429
9,12,8,ascending,58866371
8,18,7,ascending,68146585
7,15,6,descending,556268
8,15,19,ascending,262715094
5,15,6,descending,30358224
4,15,18,ascending,22803636465
12,12,0,ascending,1709964
4,18,21,ascending,217127699
7,15,13,ascending,1431842186
9,15,9,descending,1157
6,15,8,descending,5284143
3,15,7,descending,246117489
13,12,8,ascending,97352
12,21,14,ascending,442
3,21,10,ascending,29
13,21,16,ascending,117
9,18,14,ascending,24239608
2,15,11,descending,349174671
4,21,14,ascending,122
7,12,1,ascending,4157333385
1,18,9,descending,1253
12,15,3,ascending,37
14,21,21,ascending,30
3,21,15,ascending,27
7,18,10,descending,605
9,12,14,ascending,55909460
0,18,21,descending,142
11,15,18,ascending,81486
7,12,7,descending,56272
8,18,22,descending,106
9,12,19,ascending,55073107
13,15,2,ascending,131
4,15,7,descending,109719476
0,15,7,ascending,988064468
0,15,6,descending,62232831
14,21,16,ascending,30
13,18,15,ascending,15075
8,18,10,descending,119
1,12,21,descending,39259675915
2,12,20,ascending,379359198188
5,15,4,descending,28286376
10,21,13,ascending,3825
5,18,9,ascending,255791423
4,12,18,descending,1167540640
7,15,21,ascending,1433958999
13,18,23,ascending,3869
7,12,12,descending,54965
5,18,12,descending,7386
13,18,7,ascending,15492
0,15,18,ascending,1061127117
5,18,12,ascending,263853318
0,18,12,descending,120
8,15,2,ascending,200382748
0,18,7,ascending,37993
7,21,15,ascending,10664
1,15,19,ascending,7795683655
8,18,6,descending,94
8,18,19,ascending,71380069
4,15,2,descending,52758485
12,21,4,ascending,360
3,12,23,ascending,327466064372
4,18,19,ascending,216280094
7,12,17,ascending,2870449337
7,15,15,descending,567069
0,12,11,ascending,67747643306
8,12,16,ascending,366193000
1,12,0,ascending,203320724686
10,12,9,ascending,12852142
1,12,10,descending,38322294970
0,15,6,ascending,979209423
10,15,16,ascending,2051442
2,18,9,descending,5402
11,18,6,ascending,1173124
2,12,9,descending,20871903900
3,12,9,descending,6571078265
9,18,7,ascending,23686829
1,15,6,ascending,7274885826
3,12,11,ascending,330698084050
7,15,3,ascending,1311596913
2,12,17,descending,21253891208
11,21,19,ascending,1572
13,12,14,ascending,89652
11,12,3,ascending,969673
2,18,10,descending,5532
6,18,6,ascending,222571234
10,12,6,ascending,13326572
3,15,11,descending,254746944
3,15,3,descending,194993865
9,12,20,ascending,55038626
4,18,10,ascending,203100186
13,12,5,ascending,101660
9,18,17,ascending,24428251
2,18,20,descending,6127
8,18,22,ascending,71614142
3,18,7,descending,9907
4,21,19,ascending,117
8,21,18,ascending,11523
2,12,12,ascending,379100045028
8,15,6,descending,34644
11,18,5,ascending,1154916
5,15,15,descending,31784213
13,21,14,ascending,132
6,12,6,descending,4770877
1,18,6,ascending,2229250
8,15,19,descending,34730
4,15,10,descending,111967751
13,12,16,ascending,89449
3,18,4,descending,8079
1,15,7,ascending,7330229902
7,15,20,ascending,1433865491
12,21,13,ascending,436
8,18,16,descending,100
8,15,7,ascending,267296197
1,15,23,ascending,7654768273
3,18,5,ascending,94437662
1,18,16,ascending,2580319
10,12,0,ascending,41415150
1,15,14,descending,270367188
9,15,11,ascending,31524673
2,12,15,ascending,379270789859
14,12,10,ascending,11910
6,15,22,descending,5477552
10,21,11,ascending,3683
0,12,3,ascending,65877313268
5,21,6,ascending,1144
0,15,22,ascending,1066812241
4,12,4,descending,1129975776
4,15,12,ascending,22554748479
3,12,17,ascending,329494289418
14,18,9,ascending,1037
0,15,4,descending,58298237
8,18,6,ascending,67750083
4,15,10,ascending,22405694531
13,15,6,ascending,176
13,15,12,ascending,162
13,21,22,ascending,139
1,15,20,descending,276889015
2,18,21,descending,6217
0,18,23,ascending,681367
5,12,19,ascending,67664574377
9,18,12,descending,18
8,21,17,ascending,11442
11,21,12,ascending,1425
4,12,19,descending,1167915933
1,12,11,ascending,253478711604
11,21,20,ascending,1549
8,15,14,ascending,262905386
11,21,9,ascending,1389
7,12,15,descending,54527
2,12,8,ascending,378552143739
11,21,4,ascending,1188
5,12,22,descending,109561847
11,12,2,ascending,1102533
15,18,23,ascending,25
5,18,2,ascending,123171332
1,15,11,descending,263069648
12,12,4,ascending,464101
9,12,23,ascending,14253919
6,12,10,ascending,17118253695
12,12,1,ascending,788292
14,12,19,ascending,10927
3,12,2,descending,4996691380
5,18,7,ascending,250604411
12,21,16,ascending,445
3,12,12,descending,6604860834
4,12,2,ascending,194834694797
5,15,12,ascending,13126384146
7,18,6,descending,592
7,15,16,descending,570397
3,18,17,ascending,108697144
9,18,6,descending,19
0,15,13,descending,67740056
8,21,8,ascending,9874
7,18,21,ascending,154081909
3,15,5,descending,239543899
8,21,21,ascending,11526
9,18,3,descending,8
0,15,4,ascending,954348071
7,21,3,ascending,4746
0,18,6,descending,100
4,12,15,ascending,182143445083
1,12,21,ascending,255106585150
7,15,8,descending,559066
7,21,14,ascending,10243
2,12,21,descending,21311013457
1,12,1,ascending,238394292494
12,12,9,ascending,428602
6,15,16,ascending,5258721323
8,21,10,ascending,10365
11,15,23,ascending,354288
10,21,21,ascending,4078
9,15,17,descending,1097
7,12,21,ascending,2857857994
10,18,11,descending,1
5,12,20,ascending,67628188587
1,15,15,ascending,7727133960
6,21,19,ascending,6059
4,21,12,ascending,110
4,15,20,descending,116832806
12,12,3,ascending,488600
15,21,19,ascending,5
7,12,11,descending,54908
11,18,13,ascending,1173234
12,18,14,ascending,157788
14,12,4,ascending,13233
3,18,10,ascending,101965962
7,15,1,ascending,643468727
10,12,15,ascending,12199192
11,12,9,ascending,859201
3,12,22,descending,6660715148
2,15,10,ascending,18908662731
11,18,16,ascending,1177650
1,12,14,ascending,254382680168
10,12,19,ascending,12052433
