sets,hand_size,deals,hand_type,count
2,12,10,ascending,378881830179
13,15,13,ascending,151
6,15,3,ascending,4772165752
10,12,22,ascending,12012060
0,12,13,ascending,68071539526
3,15,8,ascending,25685742384
4,15,22,ascending,22856875416
11,21,18,ascending,1549
9,15,12,descending,1118
1,12,16,ascending,254720671290
9,21,9,ascending,7104
3,12,14,descending,6625330140
0,18,14,descending,122
0,15,17,descending,69495590
6,12,3,ascending,18152291816
1,15,3,ascending,6755471534
1,18,20,ascending,2627351
3,15,17,ascending,26525584282
10,18,12,ascending,6143391
4,12,13,ascending,182619889339
4,15,21,ascending,22847752574
15,18,4,ascending,145
14,21,5,ascending,27
7,21,13,ascending,10288
8,18,7,descending,96
8,18,21,descending,115
2,15,23,ascending,19695366229
9,21,21,ascending,8188
15,21,17,ascending,7
0,12,17,descending,29477626103
14,12,5,ascending,12955
9,12,22,ascending,55011310
6,12,21,descending,4672483
14,12,18,ascending,11209
9,15,20,descending,1118
6,18,17,ascending,240520958
7,12,2,ascending,3426224955
6,21,15,ascending,5848
7,18,5,ascending,141230032
12,18,15,ascending,157283
12,21,3,ascending,228
11,12,1,ascending,1529299
6,15,13,descending,5385812
0,18,11,descending,108
11,18,10,ascending,1166615
8,12,4,ascending,400883233
8,21,6,ascending,9568
14,18,4,ascending,1020
3,21,20,ascending,25
4,12,22,descending,1168746803
6,15,21,descending,5473930
1,12,7,descending,37816479001
3,15,8,descending,248087594
9,15,10,descending,1145
8,15,10,ascending,264257216
6,12,19,ascending,16698633840
5,21,5,ascending,1179
1,15,19,descending,276345643
7,12,18,ascending,2865934515
6,18,8,ascending,226339101
10,18,4,ascending,5677483
11,12,5,ascending,907457
0,12,20,ascending,68537252898
7,15,7,descending,558319
8,18,9,ascending,68684187
8,18,15,ascending,70724699
0,12,12,descending,29020679728
14,18,5,ascending,1049
8,15,1,ascending,117463171
5,18,20,descending,8168
8,18,13,ascending,70161097
5,12,6,ascending,70123923814
6,12,2,descending,3543455
9,18,10,ascending,23870298
3,18,2,ascending,49102442
11,18,12,ascending,1170728
0,18,12,ascending,42010
6,12,13,ascending,16886346139
9,15,7,descending,1103
7,15,13,descending,563759
0,12,4,descending,27304957599
10,18,15,descending,1
9,21,6,ascending,6838
14,21,17,ascending,48
8,15,8,descending,34832
6,21,23,ascending,5731
4,21,4,ascending,91
1,12,17,ascending,254837671437
3,18,12,ascending,104670969
3,15,6,descending,243858930
2,12,20,descending,21301477415
4,18,16,ascending,214009798
7,15,7,ascending,1441817755
3,15,2,ascending,19981835659
8,18,10,ascending,69054477
9,12,0,ascending,164853315
13,12,23,ascending,279243
15,18,9,ascending,133
15,21,12,ascending,8
14,12,9,ascending,12019
6,12,15,descending,4678927
6,15,20,ascending,5267865266
0,18,19,ascending,44828
2,12,2,ascending,379966303744
6,18,11,ascending,232413555
13,15,3,ascending,150
15,21,9,ascending,6
8,15,18,ascending,262730384
6,12,19,descending,4678421
2,12,5,ascending,378155786034
1,12,22,descending,39277381677
3,18,3,descending,5081
6,21,21,ascending,6056
5,21,9,ascending,1244
4,15,13,ascending,22617839554
1,15,16,descending,273531638
0,15,22,descending,70360995
5,18,10,descending,7263
7,12,11,ascending,2935093490
14,21,18,ascending,28
3,15,15,ascending,26428644741
7,15,20,descending,571505
3,15,14,ascending,26361912505
1,15,8,ascending,7390169831
6,15,17,descending,5448043
13,15,16,ascending,157
3,12,13,descending,6615720011
4,12,19,ascending,181657709347
12,21,18,ascending,486
2,15,16,ascending,19399596031
11,21,3,ascending,699
15,18,8,ascending,146
1,18,13,descending,1346
0,15,11,ascending,1026855231
7,15,10,descending,559547
